FID	IID	Pop
VN049	HG02024	KHV
VN049	HG02025	KHV
VN049	HG02026	KHV
VN050	HG02027	KHV
VN050	HG02028	KHV
VN050	HG02029	KHV
VN051	HG02030	KHV
VN051	HG02031	KHV
VN051	HG02032	KHV
VN052	HG02035	KHV
VN054	HG02040	KHV
VN056	HG02046	KHV
VN056	HG02047	KHV
VN057	HG02048	KHV
VN058	HG02049	KHV
VN059	HG02050	KHV
BB14	HG02051	ACB
BB14	HG02052	ACB
BB15	HG02053	ACB
BB15	HG02054	ACB
BB15	HG02055	ACB
VN060	HG02056	KHV
VN060	HG02057	KHV
VN060	HG02058	KHV
VN061	HG02059	KHV
VN061	HG02060	KHV
VN061	HG02061	KHV
VN062	HG02064	KHV
VN063	HG02067	KHV
VN064	HG02068	KHV
VN064	HG02069	KHV
VN064	HG02070	KHV
VN065	HG02071	KHV
VN065	HG02072	KHV
VN065	HG02073	KHV
VN066	HG02074	KHV
VN066	HG02075	KHV
VN066	HG02076	KHV
VN067	HG02077	KHV
VN067	HG02078	KHV
VN067	HG02079	KHV
VN068	HG02080	KHV
VN068	HG02081	KHV
VN068	HG02082	KHV
VN069	HG02083	KHV
VN069	HG02084	KHV
VN069	HG02085	KHV
VN070	HG02086	KHV
VN071	HG02087	KHV
VN072	HG02088	KHV
PEL35	HG02089	PEL
PEL35	HG02090	PEL
PEL35	HG02091	PEL
BB16	HG02095	ACB
PEL37	HG02102	PEL
PEL38	HG02104	PEL
PEL38	HG02105	PEL
PEL38	HG02106	PEL
BB18	HG02107	ACB
BB18	HG02108	ACB
BB19	HG02111	ACB
VN073	HG02113	KHV
VN074	HG02116	KHV
VN076	HG02120	KHV
VN076	HG02121	KHV
VN076	HG02122	KHV
VN078	HG02126	KHV
VN078	HG02127	KHV
VN078	HG02128	KHV
VN079	HG02129	KHV
VN079	HG02130	KHV
VN079	HG02131	KHV
VN080	HG02132	KHV
VN080	HG02133	KHV
VN080	HG02134	KHV
VN081	HG02135	KHV
VN081	HG02136	KHV
VN081	HG02137	KHV
VN082	HG02138	KHV
VN083	HG02139	KHV
VN084	HG02140	KHV
VN085	HG02141	KHV
VN086	HG02142	KHV
BB20	HG02143	ACB
BB20	HG02144	ACB
BB20	HG02145	ACB
PEL39	HG02146	PEL
PEL39	HG02147	PEL
PEL39	HG02148	PEL
PEL40	HG02150	PEL
HG02151	HG02151	CDX
HG02152	HG02152	CDX
HG02153	HG02153	CDX
HG02154	HG02154	CDX
HG02155	HG02155	CDX
HG02156	HG02156	CDX
HG02164	HG02164	CDX
HG02165	HG02165	CDX
HG02166	HG02166	CDX
HG02168	HG02168	CDX
HG02169	HG02169	CDX
HG02170	HG02170	CDX
HG02173	HG02173	CDX
HG02176	HG02176	CDX
HG02178	HG02178	CDX
HG02179	HG02179	CDX
HG02180	HG02180	CDX
HG02181	HG02181	CDX
HG02182	HG02182	CDX
HG02184	HG02184	CDX
HG02185	HG02185	CDX
HG02186	HG02186	CDX
HG02187	HG02187	CDX
HG02188	HG02188	CDX
HG02189	HG02189	CDX
HG02190	HG02190	CDX
HG02215	HG02215	GBR
IBS055	HG02217	IBS
IBS055	HG02218	IBS
IBS055	HG02219	IBS
IBS056	HG02220	IBS
IBS056	HG02221	IBS
IBS056	HG02222	IBS
IBS057	HG02223	IBS
IBS057	HG02224	IBS
IBS057	HG02225	IBS
IBS059	HG02229	IBS
IBS059	HG02230	IBS
IBS059	HG02231	IBS
IBS060	HG02232	IBS
IBS060	HG02233	IBS
IBS060	HG02234	IBS
IBS061	HG02235	IBS
IBS061	HG02236	IBS
IBS061	HG02237	IBS
IBS062	HG02238	IBS
IBS062	HG02239	IBS
IBS062	HG02240	IBS
HG02250	HG02250	CDX
PEL41	HG02252	PEL
PEL41	HG02253	PEL
PEL41	HG02254	PEL
BB21	HG02255	ACB
BB21	HG02256	ACB
BB21	HG02257	ACB
BB22	HG02258	ACB
PEL42	HG02259	PEL
PEL42	HG02260	PEL
PEL42	HG02261	PEL
PEL43	HG02262	PEL
PEL44	HG02265	PEL
PEL44	HG02266	PEL
PEL44	HG02267	PEL
PEL46	HG02271	PEL
PEL46	HG02272	PEL
PEL46	HG02273	PEL
PEL47	HG02274	PEL
PEL47	HG02275	PEL
PEL47	HG02276	PEL
PEL48	HG02277	PEL
PEL48	HG02278	PEL
PEL48	HG02279	PEL
BB23	HG02280	ACB
BB24	HG02281	ACB
BB24	HG02282	ACB
BB25	HG02283	ACB
BB26	HG02284	ACB
PEL49	HG02285	PEL
PEL49	HG02286	PEL
PEL49	HG02287	PEL
PEL50	HG02288	PEL
PEL51	HG02291	PEL
PEL51	HG02292	PEL
PEL51	HG02293	PEL
PEL52	HG02298	PEL
PEL52	HG02299	PEL
PEL52	HG02300	PEL
PEL53	HG02301	PEL
PEL53	HG02302	PEL
PEL53	HG02303	PEL
PEL54	HG02304	PEL
BB23	HG02307	ACB
BB23	HG02308	ACB
BB25	HG02309	ACB
PEL55	HG02312	PEL
BB22	HG02314	ACB
BB22	HG02315	ACB
BB27	HG02316	ACB
BB27	HG02317	ACB
BB27	HG02318	ACB
BB24	HG02321	ACB
BB28	HG02322	ACB
BB29	HG02323	ACB
BB30	HG02325	ACB
BB33	HG02330	ACB
BB16	HG02332	ACB
BB32	HG02334	ACB
BB31	HG02337	ACB
BB34	HG02339	ACB
BB35	HG02343	ACB
PEL56	HG02344	PEL
PEL56	HG02345	PEL
PEL57	HG02347	PEL
PEL57	HG02348	PEL
HG02351	HG02351	CDX
HG02353	HG02353	CDX
HG02355	HG02355	CDX
HG02356	HG02356	CDX
HG02358	HG02358	CDX
HG02360	HG02360	CDX
HG02363	HG02363	CDX
HG02364	HG02364	CDX
HG02367	HG02367	CDX
CDX2	HG02371	CDX
CDX2	HG02372	CDX
HG02373	HG02373	CDX
HG02374	HG02374	CDX
HG02375	HG02375	CDX
HG02377	HG02377	CDX
HG02379	HG02379	CDX
HG02380	HG02380	CDX
HG02381	HG02381	CDX
HG02382	HG02382	CDX
HG02383	HG02383	CDX
HG02384	HG02384	CDX
HG02385	HG02385	CDX
HG02386	HG02386	CDX
HG02387	HG02387	CDX
HG02388	HG02388	CDX
HG02389	HG02389	CDX
HG02390	HG02390	CDX
HG02391	HG02391	CDX
HG02392	HG02392	CDX
HG02394	HG02394	CDX
HG02395	HG02395	CDX
HG02396	HG02396	CDX
HG02397	HG02397	CDX
HG02398	HG02398	CDX
HG02399	HG02399	CDX
HG02401	HG02401	CDX
HG02402	HG02402	CDX
HG02405	HG02405	CDX
HG02406	HG02406	CDX
HG02407	HG02407	CDX
HG02408	HG02408	CDX
HG02409	HG02409	CDX
HG02410	HG02410	CDX
PEL58	HG02415	PEL
BB36	HG02419	ACB
BB37	HG02420	ACB
PEL59	HG02425	PEL
BB37	HG02427	ACB
BB37	HG02428	ACB
BB39	HG02429	ACB
BB41	HG02433	ACB
BB40	HG02436	ACB
BB42	HG02439	ACB
BB43	HG02442	ACB
BB44	HG02445	ACB
BB46	HG02449	ACB
BB46	HG02450	ACB
BB46	HG02451	ACB
BB48	HG02455	ACB
GB15	HG02461	GWD
GB15	HG02462	GWD
GB15	HG02463	GWD
GB16	HG02464	GWD
GB16	HG02465	GWD
GB16	HG02466	GWD
BB49	HG02470	ACB
BB49	HG02471	ACB
BB51	HG02476	ACB
BB52	HG02477	ACB
BB53	HG02478	ACB
BB53	HG02479	ACB
BB53	HG02480	ACB
BB54	HG02481	ACB
BB55	HG02484	ACB
BB55	HG02485	ACB
BB55	HG02486	ACB
BB45	HG02489	ACB
PK06	HG02490	PJL
PK06	HG02491	PJL
PK06	HG02492	PJL
PK07	HG02493	PJL
PK07	HG02494	PJL
PK07	HG02495	PJL
BB57	HG02496	ACB
BB57	HG02497	ACB
BB58	HG02501	ACB
BB58	HG02502	ACB
BB59	HG02505	ACB
BB60	HG02508	ACB
BB56	HG02511	ACB
VN087	HG02512	KHV
VN087	HG02513	KHV
VN087	HG02514	KHV
VN090	HG02521	KHV
VN090	HG02522	KHV
VN090	HG02523	KHV
VN91	HG02524	KHV
VN91	HG02525	KHV
VN91	HG02526	KHV
BB61	HG02536	ACB
BB61	HG02537	ACB
BB63	HG02541	ACB
BB64	HG02545	ACB
BB64	HG02546	ACB
BB64	HG02547	ACB
BB65	HG02549	ACB
BB67	HG02554	ACB
BB67	HG02555	ACB
BB68	HG02557	ACB
BB68	HG02558	ACB
BB68	HG02559	ACB
GB18	HG02561	GWD
GB18	HG02562	GWD
GB18	HG02563	GWD
GB20	HG02567	GWD
GB20	HG02568	GWD
GB20	HG02569	GWD
GB21	HG02570	GWD
GB21	HG02571	GWD
GB21	HG02572	GWD
GB22	HG02573	GWD
GB22	HG02574	GWD
GB22	HG02575	GWD
BB69	HG02577	ACB
BB70	HG02580	ACB
GB23	HG02582	GWD
GB23	HG02583	GWD
GB23	HG02584	GWD
GB24	HG02585	GWD
GB24	HG02586	GWD
GB24	HG02587	GWD
GB25	HG02588	GWD
GB25	HG02589	GWD
GB25	HG02590	GWD
GB27	HG02594	GWD
GB27	HG02595	GWD
GB27	HG02596	GWD
PK08	HG02597	PJL
PK08	HG02599	PJL
PK09	HG02600	PJL
PK09	HG02601	PJL
PK09	HG02602	PJL
PK10	HG02603	PJL
PK10	HG02604	PJL
PK10	HG02605	PJL
GB28	HG02610	GWD
GB28	HG02611	GWD
GB28	HG02612	GWD
GB29	HG02613	GWD
GB29	HG02614	GWD
GB29	HG02615	GWD
GB31	HG02620	GWD
GB31	HG02621	GWD
GB31	HG02622	GWD
GB32	HG02623	GWD
GB32	HG02624	GWD
GB32	HG02625	GWD
GB33	HG02628	GWD
GB33	HG02629	GWD
GB33	HG02630	GWD
GB35	HG02634	GWD
GB35	HG02635	GWD
GB35	HG02636	GWD
GB37	HG02642	GWD
GB37	HG02643	GWD
GB37	HG02644	GWD
GB38	HG02645	GWD
GB38	HG02646	GWD
GB38	HG02647	GWD
PK11	HG02648	PJL
PK11	HG02649	PJL
PK11	HG02650	PJL
PK12	HG02651	PJL
PK12	HG02652	PJL
PK12	HG02653	PJL
PK13	HG02654	PJL
PK13	HG02655	PJL
PK13	HG02656	PJL
PK14	HG02657	PJL
PK14	HG02658	PJL
PK14	HG02659	PJL
PK15	HG02660	PJL
PK15	HG02661	PJL
PK15	HG02662	PJL
GB40	HG02666	GWD
GB40	HG02667	GWD
GB40	HG02668	GWD
GB43	HG02675	GWD
GB43	HG02676	GWD
GB43	HG02677	GWD
GB44	HG02678	GWD
GB44	HG02679	GWD
GB44	HG02680	GWD
PK16	HG02681	PJL
PK16	HG02682	PJL
PK16	HG02683	PJL
PK17	HG02684	PJL
PK17	HG02685	PJL
PK17	HG02686	PJL
PK18	HG02687	PJL
PK18	HG02688	PJL
PK18	HG02689	PJL
PK19	HG02690	PJL
PK19	HG02691	PJL
PK19	HG02692	PJL
PK20	HG02694	PJL
PK21	HG02696	PJL
PK21	HG02697	PJL
PK21	HG02698	PJL
PK22	HG02699	PJL
PK22	HG02700	PJL
PK22	HG02701	PJL
GB45	HG02702	GWD
GB45	HG02703	GWD
GB45	HG02704	GWD
GB50	HG02715	GWD
GB50	HG02716	GWD
GB50	HG02717	GWD
GB52	HG02721	GWD
GB52	HG02722	GWD
GB52	HG02723	GWD
PK23	HG02724	PJL
PK23	HG02725	PJL
PK23	HG02726	PJL
PK24	HG02727	PJL
PK24	HG02728	PJL
PK24	HG02729	PJL
PK25	HG02731	PJL
PK26	HG02733	PJL
PK26	HG02734	PJL
PK26	HG02735	PJL
PK27	HG02736	PJL
PK27	HG02737	PJL
PK27	HG02738	PJL
GB53	HG02756	GWD
GB53	HG02757	GWD
GB53	HG02758	GWD
GB54	HG02759	GWD
GB54	HG02760	GWD
GB54	HG02761	GWD
GB55	HG02762	GWD
GB55	HG02763	GWD
GB55	HG02764	GWD
GB57	HG02768	GWD
GB57	HG02769	GWD
GB57	HG02770	GWD
GB58	HG02771	GWD
GB58	HG02772	GWD
GB58	HG02773	GWD
PK28	HG02774	PJL
PK28	HG02775	PJL
PK28	HG02776	PJL
PK29	HG02778	PJL
PK29	HG02779	PJL
PK30	HG02780	PJL
PK30	HG02781	PJL
PK31	HG02783	PJL
PK31	HG02784	PJL
PK31	HG02785	PJL
PK32	HG02786	PJL
PK32	HG02787	PJL
PK32	HG02788	PJL
PK33	HG02789	PJL
PK33	HG02790	PJL
PK33	HG02791	PJL
PK34	HG02792	PJL
PK34	HG02793	PJL
PK34	HG02794	PJL
GB60	HG02798	GWD
GB60	HG02799	GWD
GB60	HG02800	GWD
GB62	HG02804	GWD
GB62	HG02805	GWD
GB62	HG02806	GWD
GB63	HG02807	GWD
GB63	HG02808	GWD
GB63	HG02809	GWD
GB64	HG02810	GWD
GB64	HG02811	GWD
GB64	HG02812	GWD
GB65	HG02813	GWD
GB65	HG02814	GWD
GB65	HG02815	GWD
GB66	HG02816	GWD
GB66	HG02817	GWD
GB66	HG02818	GWD
GB67	HG02819	GWD
GB67	HG02820	GWD
GB67	HG02821	GWD
GB73	HG02836	GWD
GB73	HG02837	GWD
GB73	HG02838	GWD
GB74	HG02839	GWD
GB74	HG02840	GWD
GB74	HG02841	GWD
GB78	HG02851	GWD
GB78	HG02852	GWD
GB78	HG02853	GWD
GB79	HG02854	GWD
GB79	HG02855	GWD
GB79	HG02856	GWD
GB81	HG02860	GWD
GB81	HG02861	GWD
GB81	HG02862	GWD
GB84	HG02869	GWD
GB84	HG02870	GWD
GB84	HG02871	GWD
GB87	HG02878	GWD
GB87	HG02879	GWD
GB87	HG02880	GWD
GB88	HG02881	GWD
GB88	HG02882	GWD
GB88	HG02883	GWD
GB89	HG02884	GWD
GB89	HG02885	GWD
GB89	HG02886	GWD
GB90	HG02887	GWD
GB90	HG02888	GWD
GB90	HG02889	GWD
GB91	HG02890	GWD
GB91	HG02891	GWD
GB91	HG02892	GWD
GB93	HG02895	GWD
GB93	HG02896	GWD
GB93	HG02897	GWD
NG06	HG02922	ESN
NG06	HG02923	ESN
NG06	HG02924	ESN
NG11	HG02938	ESN
NG11	HG02939	ESN
NG12	HG02941	ESN
NG12	HG02942	ESN
NG13	HG02943	ESN
NG13	HG02944	ESN
NG13	HG02945	ESN
NG14	HG02946	ESN
NG14	HG02947	ESN
NG14	HG02948	ESN
NG16	HG02952	ESN
NG16	HG02953	ESN
NG16	HG02954	ESN
NG20	HG02964	ESN
NG20	HG02965	ESN
NG20	HG02966	ESN
NG21	HG02968	ESN
NG21	HG02969	ESN
NG22	HG02970	ESN
NG22	HG02971	ESN
NG22	HG02972	ESN
NG23	HG02973	ESN
NG23	HG02974	ESN
NG23	HG02975	ESN
NG24	HG02976	ESN
NG24	HG02977	ESN
NG24	HG02978	ESN
NG25	HG02979	ESN
NG25	HG02980	ESN
NG25	HG02981	ESN
GB97	HG02982	GWD
GB97	HG02983	GWD
GB97	HG02984	GWD
BD01	HG03006	BEB
BD01	HG03007	BEB
BD01	HG03008	BEB
HG03009	HG03009	BEB
BD3	HG03012	BEB
PK35	HG03015	PJL
PK35	HG03016	PJL
PK35	HG03017	PJL
PK36	HG03018	PJL
PK36	HG03019	PJL
PK37	HG03021	PJL
HG03022	HG03022	PJL
PK37	HG03023	PJL
GB105	HG03024	GWD
GB105	HG03025	GWD
GB105	HG03026	GWD
GB106	HG03027	GWD
GB106	HG03028	GWD
GB106	HG03029	GWD
GB108	HG03033	GWD
GB108	HG03034	GWD
GB108	HG03035	GWD
GB110	HG03039	GWD
GB110	HG03040	GWD
GB110	HG03041	GWD
GB112	HG03045	GWD
GB112	HG03046	GWD
GB112	HG03047	GWD
GB113	HG03048	GWD
GB113	HG03049	GWD
GB113	HG03050	GWD
SL01	HG03052	MSL
SL01	HG03053	MSL
SL02	HG03054	MSL
SL02	HG03055	MSL
SL02	HG03056	MSL
HG03057	HG03057	MSL
SL03	HG03058	MSL
SL03	HG03059	MSL
HG03060	HG03060	MSL
SL04	HG03061	MSL
SL04	HG03062	MSL
SL05	HG03063	MSL
SL05	HG03064	MSL
SL05	HG03065	MSL
SL06	HG03066	MSL
SL07	HG03069	MSL
SL08	HG03072	MSL
SL08	HG03073	MSL
HG03074	HG03074	MSL
SL09	HG03076	MSL
HG03077	HG03077	MSL
HG03078	HG03078	MSL
SL10	HG03079	MSL
SL10	HG03080	MSL
SL11	HG03081	MSL
SL11	HG03082	MSL
HG03084	HG03084	MSL
HG03085	HG03085	MSL
HG03086	HG03086	MSL
SL13	HG03088	MSL
SL14	HG03091	MSL
SL15	HG03095	MSL
SL16	HG03096	MSL
SL16	HG03097	MSL
SL16	HG03098	MSL
NG26	HG03099	ESN
NG26	HG03100	ESN
NG26	HG03101	ESN
NG27	HG03103	ESN
NG27	HG03104	ESN
NG28	HG03105	ESN
NG28	HG03107	ESN
NG29	HG03108	ESN
NG29	HG03109	ESN
NG29	HG03110	ESN
NG30	HG03111	ESN
NG30	HG03112	ESN
NG30	HG03113	ESN
NG31	HG03114	ESN
NG31	HG03115	ESN
NG31	HG03116	ESN
NG32	HG03117	ESN
NG32	HG03118	ESN
NG32	HG03119	ESN
NG33	HG03120	ESN
NG33	HG03121	ESN
NG33	HG03122	ESN
NG34	HG03123	ESN
NG34	HG03124	ESN
NG34	HG03125	ESN
NG35	HG03126	ESN
NG35	HG03127	ESN
NG35	HG03128	ESN
NG36	HG03129	ESN
NG36	HG03130	ESN
NG36	HG03131	ESN
NG37	HG03132	ESN
NG37	HG03133	ESN
NG37	HG03134	ESN
NG38	HG03135	ESN
NG38	HG03136	ESN
NG38	HG03137	ESN
NG39	HG03139	ESN
NG39	HG03140	ESN
NG45	HG03157	ESN
NG45	HG03158	ESN
NG46	HG03159	ESN
NG46	HG03160	ESN
NG46	HG03161	ESN
NG47	HG03162	ESN
NG47	HG03163	ESN
NG47	HG03164	ESN
NG48	HG03166	ESN
NG48	HG03167	ESN
NG49	HG03168	ESN
NG49	HG03169	ESN
NG49	HG03170	ESN
HG03171	HG03171	ESN
NG50	HG03172	ESN
NG50	HG03173	ESN
NG51	HG03175	ESN
NG51	HG03176	ESN
NG56	HG03189	ESN
NG56	HG03190	ESN
NG56	HG03191	ESN
NG57	HG03193	ESN
NG57	HG03194	ESN
NG58	HG03195	ESN
NG58	HG03196	ESN
NG58	HG03197	ESN
NG59	HG03198	ESN
NG59	HG03199	ESN
NG59	HG03200	ESN
NG60	HG03202	ESN
NG60	HG03203	ESN
SL17	HG03209	MSL
SL18	HG03212	MSL
SL22	HG03224	MSL
SL23	HG03225	MSL
PK38	HG03228	PJL
PK38	HG03229	PJL
PK38	HG03230	PJL
PK40	HG03234	PJL
PK40	HG03235	PJL
PK40	HG03236	PJL
PK41	HG03237	PJL
PK41	HG03238	PJL
PK41	HG03239	PJL
GB114	HG03240	GWD
GB114	HG03241	GWD
GB114	HG03242	GWD
GB116	HG03246	GWD
GB116	HG03247	GWD
GB116	HG03248	GWD
GB117	HG03249	GWD
GB117	HG03250	GWD
GB117	HG03251	GWD
GB120	HG03258	GWD
GB120	HG03259	GWD
GB120	HG03260	GWD
NG63	HG03265	ESN
NG63	HG03266	ESN
NG64	HG03267	ESN
NG64	HG03268	ESN
NG64	HG03269	ESN
NG65	HG03270	ESN
NG65	HG03271	ESN
NG65	HG03272	ESN
NG68	HG03279	ESN
NG68	HG03280	ESN
NG72	HG03291	ESN
NG72	HG03293	ESN
NG73	HG03294	ESN
NG73	HG03295	ESN
NG73	HG03296	ESN
NG74	HG03297	ESN
NG74	HG03298	ESN
NG74	HG03299	ESN
NG75	HG03300	ESN
NG75	HG03301	ESN
NG75	HG03302	ESN
NG76	HG03303	ESN
NG76	HG03304	ESN
NG76	HG03305	ESN
NG77	HG03306	ESN
NG77	HG03307	ESN
NG77	HG03308	ESN
NG78	HG03309	ESN
NG78	HG03310	ESN
NG78	HG03311	ESN
NG79	HG03312	ESN
NG79	HG03313	ESN
NG79	HG03314	ESN
NG88	HG03339	ESN
NG88	HG03341	ESN
NG89	HG03342	ESN
NG89	HG03343	ESN
NG89	HG03344	ESN
NG92	HG03350	ESN
NG92	HG03351	ESN
NG92	HG03352	ESN
NG93	HG03354	ESN
NG95	HG03361	ESN
NG95	HG03362	ESN
NG96	HG03363	ESN
NG96	HG03365	ESN
NG97	HG03366	ESN
NG97	HG03367	ESN
NG97	HG03368	ESN
NG98	HG03369	ESN
NG98	HG03370	ESN
NG98	HG03371	ESN
NG99	HG03372	ESN
NG99	HG03373	ESN
NG99	HG03374	ESN
SL24	HG03376	MSL
HG03378	HG03378	MSL
SL25	HG03380	MSL
SL30	HG03381	MSL
SL26	HG03382	MSL
HG03383	HG03383	MSL
SL26	HG03384	MSL
SL27	HG03385	MSL
SL28	HG03388	MSL
SL28	HG03390	MSL
SL29	HG03391	MSL
HG03393	HG03393	MSL
SL30	HG03394	MSL
HG03397	HG03397	MSL
HG03398	HG03398	MSL
SL26	HG03399	MSL
SL32	HG03401	MSL
SL32	HG03402	MSL
SL34	HG03408	MSL
SL35	HG03410	MSL
SL35	HG03411	MSL
SL38	HG03419	MSL
SL42	HG03428	MSL
HG03431	HG03431	MSL
HG03432	HG03432	MSL
HG03433	HG03433	MSL
HG03436	HG03436	MSL
HG03437	HG03437	MSL
SL56	HG03438	MSL
SL46	HG03439	MSL
HG03442	HG03442	MSL
HG03445	HG03445	MSL
HG03446	HG03446	MSL
SL49	HG03449	MSL
SL49	HG03450	MSL
SL50	HG03451	MSL
SL50	HG03452	MSL
SL50	HG03453	MSL
SL51	HG03454	MSL
SL51	HG03455	MSL
SL51	HG03456	MSL
HG03457	HG03457	MSL
SL52	HG03458	MSL
SL52	HG03459	MSL
HG03460	HG03460	MSL
HG03461	HG03461	MSL
HG03462	HG03462	MSL
SL54	HG03464	MSL
SL54	HG03465	MSL
SL50i	HG03466	MSL
SL50i	HG03468	MSL
SL56i	HG03469	MSL
SL56	HG03470	MSL
SL56i	HG03471	MSL
HG03472	HG03472	MSL
SL57	HG03473	MSL
SL57	HG03474	MSL
SL58	HG03476	MSL
SL58	HG03477	MSL
SL59	HG03478	MSL
SL59	HG03479	MSL
SL59	HG03480	MSL
SL61	HG03484	MSL
SL61	HG03485	MSL
SL61	HG03486	MSL
PK42	HG03487	PJL
PK42	HG03488	PJL
PK42	HG03489	PJL
PK43	HG03490	PJL
PK43	HG03491	PJL
PK43	HG03492	PJL
NG100	HG03493	ESN
NG102	HG03499	ESN
NG105	HG03508	ESN
NG105	HG03510	ESN
NG106	HG03511	ESN
NG106	HG03513	ESN
NG107	HG03514	ESN
NG107	HG03515	ESN
NG107	HG03516	ESN
NG108	HG03517	ESN
NG108	HG03518	ESN
NG108	HG03519	ESN
NG109	HG03520	ESN
NG109	HG03521	ESN
NG109	HG03522	ESN
GB125	HG03538	GWD
GB125	HG03539	GWD
GB125	HG03540	GWD
HG03547	HG03547	MSL
HG03548	HG03548	MSL
HG03549	HG03549	MSL
HG03556	HG03556	MSL
HG03557	HG03557	MSL
HG03558	HG03558	MSL
SL66	HG03559	MSL
SL67	HG03563	MSL
SL67	HG03564	MSL
HG03565	HG03565	MSL
HG03566	HG03566	MSL
HG03567	HG03567	MSL
SL69	HG03569	MSL
SL70	HG03571	MSL
SL70	HG03572	MSL
SL71	HG03574	MSL
SL71	HG03575	MSL
SL71	HG03576	MSL
SL72	HG03577	MSL
SL72	HG03578	MSL
SL72	HG03579	MSL
SL73	HG03582	MSL
SL73	HG03583	MSL
SL73	HG03584	MSL
BD4	HG03585	BEB
BD4	HG03587	BEB
BD05	HG03589	BEB
BD05	HG03590	BEB
BD6	HG03593	BEB
BD7	HG03594	BEB
BD7	HG03595	BEB
BD7	HG03596	BEB
BD8	HG03598	BEB
BD8	HG03599	BEB
BD09	HG03600	BEB
BD09	HG03602	BEB
BD10	HG03603	BEB
BD10	HG03604	BEB
BD11	HG03605	BEB
BD11	HG03606	BEB
BD11	HG03607	BEB
BD12	HG03611	BEB
BD14	HG03615	BEB
BD14	HG03616	BEB
BD14	HG03617	BEB
PK44	HG03618	PJL
PK44	HG03619	PJL
PK44	HG03620	PJL
PK45	HG03621	PJL
PK46	HG03624	PJL
PK46	HG03625	PJL
PK46	HG03626	PJL
PK47	HG03629	PJL
PK48	HG03631	PJL
PK49	HG03633	PJL
PK49	HG03634	PJL
PK49	HG03635	PJL
PK50	HG03636	PJL
PK50	HG03638	PJL
PK51	HG03639	PJL
PK51	HG03640	PJL
PK51	HG03641	PJL
ST006	HG03642	STU
ST004	HG03643	STU
ST004	HG03644	STU
ST002	HG03645	STU
ST001	HG03646	STU
PK52	HG03649	PJL
PK52	HG03650	PJL
PK52	HG03651	PJL
PK53	HG03652	PJL
PK53	HG03653	PJL
PK53	HG03654	PJL
PK54	HG03656	PJL
PK54	HG03657	PJL
PK55	HG03660	PJL
PK56	HG03663	PJL
PK58	HG03667	PJL
PK58	HG03668	PJL
PK58	HG03669	PJL
ST008	HG03672	STU
ST010	HG03673	STU
ST006	HG03679	STU
ST009	HG03680	STU
ST011	HG03681	STU
ST012	HG03682	STU
ST012	HG03683	STU
ST012	HG03684	STU
ST013	HG03685	STU
ST014	HG03686	STU
ST015	HG03687	STU
ST016	HG03688	STU
ST017	HG03689	STU
ST018	HG03690	STU
ST019	HG03691	STU
ST020	HG03692	STU
ST021	HG03693	STU
ST022	HG03694	STU
ST023	HG03695	STU
ST024	HG03696	STU
ST025	HG03697	STU
ST026	HG03698	STU
PK59	HG03699	PJL
PK59	HG03700	PJL
PK59	HG03701	PJL
PK60	HG03702	PJL
PK60	HG03703	PJL
PK60	HG03704	PJL
PK61	HG03705	PJL
PK61	HG03706	PJL
PK61	HG03707	PJL
PK62	HG03708	PJL
PK62	HG03709	PJL
PK62	HG03710	PJL
ST027	HG03711	STU
IT001	HG03713	ITU
IT009	HG03714	ITU
IT001	HG03715	ITU
IT009	HG03716	ITU
IT010	HG03717	ITU
IT010	HG03718	ITU
IT002	HG03719	ITU
IT052	HG03720	ITU
IT003	HG03721	ITU
IT002	HG03722	ITU
IT012	HG03723	ITU
IT002	HG03725	ITU
IT003	HG03727	ITU
IT013	HG03729	ITU
IT011	HG03730	ITU
IT013	HG03731	ITU
IT003	HG03732	ITU
ST041	HG03733	STU
ST043	HG03736	STU
ST044	HG03738	STU
ST038	HG03740	STU
ST038	HG03741	STU
IT015	HG03742	ITU
ST046	HG03743	STU
ST047	HG03744	STU
ST049	HG03745	STU
ST050	HG03746	STU
ST051	HG03750	STU
ST053	HG03752	STU
ST054	HG03753	STU
ST051	HG03754	STU
ST052	HG03755	STU
ST052	HG03756	STU
ST046	HG03757	STU
ST058	HG03760	STU
PK63	HG03761	PJL
PK63	HG03762	PJL
PK63	HG03763	PJL
PK64	HG03765	PJL
PK64	HG03766	PJL
PK65	HG03767	PJL
PK65	HG03769	PJL
IT016	HG03770	ITU
IT016	HG03771	ITU
IT004	HG03772	ITU
IT004	HG03773	ITU
IT020	HG03774	ITU
IT020	HG03775	ITU
IT022	HG03777	ITU
IT21	HG03778	ITU
IT019	HG03779	ITU
IT039	HG03780	ITU
IT018	HG03781	ITU
IT029	HG03782	ITU
IT029	HG03783	ITU
IT023	HG03784	ITU
IT024	HG03785	ITU
IT023	HG03786	ITU
IT027	HG03787	ITU
IT028	HG03788	ITU
IT028	HG03789	ITU
IT025	HG03790	ITU
IT026	HG03792	ITU
BD15	HG03793	BEB
BD15	HG03794	BEB
BD15	HG03795	BEB
BD16	HG03796	BEB
BD16	HG03797	BEB
BD16	HG03798	BEB
BD17	HG03799	BEB
BD17	HG03800	BEB
BD17	HG03801	BEB
BD18	HG03802	BEB
BD18	HG03803	BEB
BD18	HG03804	BEB
BD19	HG03805	BEB
BD19	HG03806	BEB
BD19	HG03807	BEB
BD20	HG03808	BEB
BD20	HG03809	BEB
